id,頁次,題號,圖片,題型,全等性質,答案,難度,已核對,標籤,備註
G8B-CH2-001,1,1,images/p1_A1.png,multiple_choice_congruent,SSS,甲≅丙,1,是,"三角形全等,SSS,邊邊邊",
G8B-CH2-002,1,2,images/p1_A2.png,multiple_choice_congruent,SSS,乙≅丙,1,是,"三角形全等,SSS,邊邊邊",
G8B-CH2-003,1,3,images/p1_A3.png,multiple_choice_congruent,SSS,甲≅丙,1,是,"三角形全等,SSS,邊邊邊",
G8B-CH2-004,1,4,images/p1_A4.png,multiple_choice_congruent,SSS,甲≅丙,1,是,"三角形全等,SSS,邊邊邊",
G8B-CH2-005,1,5(1),images/p1_A5_1.png,vertex_correspondence,SSS,△ABC ≅ △DFE,2,是,"三角形全等,SSS,對應頂點",
G8B-CH2-006,1,5(2),images/p1_A5_2.png,vertex_correspondence,SSS,△ABC ≅ △EFD,2,是,"三角形全等,SSS,對應頂點",
G8B-CH2-007,1,1,images/p1_B1.png,multiple_choice_congruent,SAS,甲≅丙,2,是,"三角形全等,SAS,邊角邊",
G8B-CH2-008,1,2,images/p1_B2.png,multiple_choice_congruent,SAS,乙≅丙,2,是,"三角形全等,SAS,邊角邊",
G8B-CH2-009,1,3,images/p1_B3.png,multiple_choice_congruent,SAS,甲≅丙,2,是,"三角形全等,SAS,邊角邊",
G8B-CH2-010,1,4,images/p1_B4.png,multiple_choice_congruent,SAS,甲≅丙,3,是,"三角形全等,SAS,邊角邊,夾角辨識",需仔細判斷夾角位置
G8B-CH2-011,1,5(1),images/p1_B5_1.png,vertex_correspondence,SAS,△ABC ≅ △DFE,2,是,"三角形全等,SAS,對應頂點",
G8B-CH2-012,1,5(2),images/p1_B5_2.png,vertex_correspondence,SAS,△ABC ≅ △EFD,3,是,"三角形全等,SAS,對應頂點",
G8B-CH2-013,2,1,images/p2_A1.png,multiple_choice_congruent,RHS,乙≅丙,2,是,"三角形全等,RHS,直角三角形","兩個直角三角形,斜邊10、一股6"
G8B-CH2-014,2,2,images/p2_A2.png,multiple_choice_congruent,RHS,乙≅丙,2,是,"三角形全等,RHS,直角三角形","斜邊5、一股3,直角位置決定全等"
G8B-CH2-015,2,3,images/p2_A3.png,multiple_choice_congruent,RHS,甲≅乙,2,是,"三角形全等,RHS,直角三角形",
G8B-CH2-016,2,4,images/p2_A4.png,multiple_choice_congruent,RHS,甲≅乙,2,是,"三角形全等,RHS,直角三角形","丙是鈍角三角形,不適用 RHS"
G8B-CH2-017,2,5(1),images/p2_A5_1.png,vertex_correspondence,RHS,△ABC ≅ △EDF,2,是,"三角形全等,RHS,對應頂點,直角三角形",
G8B-CH2-018,2,5(2),images/p2_A5_2.png,vertex_correspondence,RHS,△ABC ≅ △DFE,3,是,"三角形全等,RHS,對應頂點,直角三角形",
G8B-CH2-019,2,1,images/p2_B1.png,multiple_choice_congruent,ASA,甲≅丙,2,是,"三角形全等,AAS,角角邊",邊 5 對應同一相對角
G8B-CH2-020,2,2,images/p2_B2.png,multiple_choice_congruent,ASA,甲≅丙,2,是,"三角形全等,ASA,角邊角",
G8B-CH2-021,2,3,images/p2_B3.png,multiple_choice_congruent,ASA,甲≅丙,2,是,"三角形全等,ASA,角邊角",
G8B-CH2-022,2,4,images/p2_B4.png,multiple_choice_congruent,ASA,甲≅丙,3,是,"三角形全等,ASA,夾邊辨識",需注意角的位置(對應)
G8B-CH2-023,2,5(1),images/p2_B5_1.png,vertex_correspondence,ASA,△ABC ≅ △DFE,2,是,"三角形全等,ASA,對應頂點",
